loc,n_records,mean,median,std,min,max,range,cv,n_outliers,outlier_rate,n_zeros,zero_rate
2453,20,52.500240000000005,47.810249999999996,10.419660704466848,45.4338,76.0824,30.64860000000001,0.19846882041809422,4,20.0,0,0.0
1673,243,0.03153703703703704,0.0054,0.16945834889735967,0.0,2.3868,2.3868,5.373312296216924,36,14.814814814814813,16,6.584362139917696
2038,605,0.34103603305785124,0.0027,1.2386847106674044,0.0,25.7094,25.7094,3.632122680881881,85,14.049586776859504,269,44.46280991735537
2039,831,0.785953429602888,0.0765,1.5519081539583974,0.0,18.2682,18.2682,1.974554847025118,115,13.838748495788206,58,6.979542719614922
1258,296,0.058819256756756755,0.054,0.03008600103750526,0.0,0.2592,0.2592,0.5114991704489565,37,12.5,5,1.6891891891891893
1256,1357,0.29433316138540905,0.0657,0.6940583847673647,0.0,10.9863,10.9863,2.358070634992239,147,10.832719233603537,442,32.57184966838614
1911,1394,0.09632905308464848,0.0522,0.1413867436509611,0.0,2.0682,2.0682,1.4677476744915003,145,10.401721664275467,24,1.721664275466284
1672,471,0.0900783439490446,0.0207,0.12805376429958712,0.0,0.9252,0.9252,1.4215821326824616,47,9.978768577494693,39,8.280254777070063
1262,1086,0.017017127071823204,0.0045,0.04815993383644108,0.0,0.7542,0.7542,2.8300860440881257,100,9.208103130755065,241,22.191528545119706
234,521,125.56318733205374,89.8758,71.9060060397463,49.9077,415.6398,365.7321,0.5726678938914619,47,9.021113243761997,0,0.0
2069,546,6.80748956043956,6.06285,2.537332212980482,0.0,18.8784,18.8784,0.37272656688681666,41,7.509157509157509,1,0.18315018315018314
1912,1694,0.053515466351829986,0.0261,0.1006232277961188,0.0,2.0898,2.0898,1.8802644292508897,126,7.43801652892562,187,11.03896103896104
1675,670,1.1032388059701494,0.78435,1.1216823075185178,0.0,10.7046,10.7046,1.0167175968145445,49,7.313432835820896,23,3.4328358208955225
1676,1067,0.6874591377694471,0.6273,0.40709307065905453,0.0,4.4532,4.4532,0.5921705717374306,60,5.623242736644799,4,0.37488284910965325
451,1021,0.5400088148873653,0.0855,0.7961217725610518,0.0,6.6888,6.6888,1.474275512941592,54,5.288932419196866,21,2.056807051909892
448,1307,1.8041777352716142,1.9143,0.503150397706463,0.0,4.1265,4.1265,0.27888072658801266,69,5.279265493496557,34,2.601377199693956
1913,1905,0.2074686614173228,0.1188,0.42322913352439007,0.0,8.5905,8.5905,2.0399665695681404,96,5.039370078740157,289,15.170603674540683
704,1116,0.3067701612903226,0.3159,0.09394161786052009,0.0,1.4049,1.4049,0.3062280160019057,49,4.390681003584229,15,1.3440860215053763
1915,978,0.2246659509202454,0.1395,0.3132884933045212,0.0,3.9555,3.9555,1.3944636115142168,38,3.885480572597137,180,18.404907975460123
