time,loc,image_id,sat_id,ndwi_area_km2,ndwi_area_km2_outlier_iqr,ndwi_area_km2_outlier_zscore,ndwi_area_km2_outlier_mad,ndwi_area_km2_zscore,ndwi_area_km2_mad_score
1996-02-25 20:10:30.000000,1255,LANDSAT-LT05-C02-T1_L2-LT05_201030_19960225,LT05,4.6791,1,1,0,3.729908090012675,
1994-01-18 20:10:30.000000,1255,LANDSAT-LT05-C02-T1_L2-LT05_201030_19940118,LT05,4.6206,1,1,0,3.6491592101126886,
1992-12-23 20:00:30.000000,1255,LANDSAT-LT05-C02-T1_L2-LT05_200030_19921223,LT05,4.3407,1,1,0,3.2628068770527574,
2010-12-25 20:00:30.000000,1255,LANDSAT-LT05-C02-T1_L2-LT05_200030_20101225,LT05,4.3101,1,1,0,3.2205690014127653,
1990-12-16 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19901216,LT05,2.592,1,1,0,14.520099430052511,
1990-01-14 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19900114,LT05,0.8397,1,1,0,4.345798992859686,
1990-01-30 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19900130,LT05,0.8073,1,1,0,4.157676334544873,
2007-01-13 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_20070113,LT05,0.8064,1,1,0,4.152450705147239,
2001-02-13 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_20010213,LT05,0.7578,1,1,0,3.87026671767502,
2001-02-12 20:30:33.000000,1256,LANDSAT-LE07-C02-T1_L2-LE07_203033_20010212,LE07,0.7569,1,1,0,3.865041088277385,
2001-02-20 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_20010220,LT05,0.702,1,1,0,3.5462776950217294,
1996-02-16 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19960216,LT05,0.6975,1,1,0,3.520149548033561,
2002-03-19 20:30:33.000000,1256,LANDSAT-LE07-C02-T1_L2-LE07_203033_20020319,LE07,0.6939,1,1,0,3.4992470304430263,
2001-02-21 20:20:33.000000,1256,LANDSAT-LE07-C02-T1_L2-LE07_202033_20010221,LE07,0.6903,1,1,0,3.478344512852491,
2001-01-19 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_20010119,LT05,0.6822,1,1,0,3.431313848273788,
1996-02-23 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19960223,LT05,0.6777,1,1,0,3.4051857012856197,
2001-11-19 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_20011119,LT05,0.6723,1,1,0,3.3738319248998168,
2001-01-20 20:20:33.000000,1256,LANDSAT-LE07-C02-T1_L2-LE07_202033_20010120,LE07,0.6651,1,1,0,3.332026889718748,
1996-03-03 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19960303,LT05,0.6498,1,1,0,3.2431911899589743,
1998-02-12 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19980212,LT05,0.6489,1,1,0,3.2379655605613413,
1990-02-22 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19900222,LT05,0.6318,1,1,0,3.1386786020063004,
2010-01-28 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_20100128,LT05,0.6192,1,1,0,3.0655197904394287,
1997-02-09 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19970209,LT05,0.6183,1,1,0,3.0602941610417944,
1984-09-10 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19840910,LT05,0.6129,1,1,0,3.028940384655993,
1986-02-01 19:00:00.000000,1257,LANDSAT-LT05-C02-T1_L2-LT05_197031_19860201,LT05,8.0262,1,1,0,15.248300863678601,
2009-12-17 19:00:00.000000,1257,LANDSAT-LT05-C02-T1_L2-LT05_197031_20091217,LT05,6.9309,1,1,0,12.831792051522378,
1996-02-25 20:10:30.000000,1258,LANDSAT-LT05-C02-T1_L2-LT05_201030_19960225,LT05,0.3861,1,1,0,9.152017151707714,
