time,loc,image_id,sat_id,area_km2,area_km2_outlier_iqr,area_km2_outlier_zscore,area_km2_outlier_mad,area_km2_zscore,area_km2_mad_score
2022-10-17 06:17:37.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221017T061737_20221017T061802_045478_057029_6048,S1_GRD,1.5335,1,0,1,2.2812247486745374,3.636541326067208
2018-10-14 06:17:24.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20181014T061724_20181014T061749_024128_02A35C_1C13,S1_GRD,1.4959,1,0,1,2.444040616252502,3.8668882833787435
2022-11-11 18:04:09.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221111T180409_20221111T180434_045850_057C41_83E2,S1_GRD,1.4845,1,0,1,2.4934050016351827,3.9367275204359644
2022-09-12 18:04:09.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20220912T180409_20220912T180434_044975_055F7E_5DB1,S1_GRD,1.4346,1,0,1,2.709482442915512,4.24242733878292
2024-01-17 18:04:11.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20240117T180411_20240117T180436_052150_064DBD_15FF,S1_GRD,1.4126,1,0,1,2.804747046285598,4.377204813805627
2015-01-16 18:03:05.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20150116T180305_20150116T180330_004200_005194_8EB2,S1_GRD,1.4074,1,0,1,2.827264134354891,4.409061307901904
2018-10-14 06:17:13.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20181014T061713_20181014T061738_024128_02A35C_1673,S1_GRD,1.3809,1,0,1,2.942014679323403,4.5714069028156175
2018-03-01 18:03:27.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20180301T180327_20180301T180352_020825_023B56_2551,S1_GRD,1.29,1,1,1,3.33563069961162,5.128282924613983
2016-01-10 06:17:03.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20160110T061703_20160110T061728_009428_00DA93_1252,S1_GRD,1.2551,1,1,1,3.486755002230528,5.342089009990913
2018-04-06 18:03:28.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20180406T180328_20180406T180353_021350_024BE9_AD31,S1_GRD,1.2208,1,1,1,3.635281179302979,5.552219346049041
2016-11-30 18:03:21.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20161130T180321_20161130T180346_014175_016E56_0170,S1_GRD,1.1964,1,1,1,3.740938284858893,5.701699818346953
2016-11-05 06:16:57.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20161105T061657_20161105T061722_013803_0162E1_2E6A,S1_GRD,1.1873,1,1,1,3.780343188980155,5.757448683015435
2021-11-27 06:17:30.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20211127T061730_20211127T061755_040753_04D62E_B992,S1_GRD,1.1631,1,1,1,3.8851342526872488,5.905703905540413
2020-12-27 18:03:56.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20201227T180356_20201227T180421_035875_043370_D218,S1_GRD,1.0964,1,1,1,4.1739592092683715,6.3143247048138
2020-10-03 06:17:25.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20201003T061725_20201003T061750_034628_040844_290D,S1_GRD,1.0386,1,1,1,4.424245303577051,6.668421889191639
2015-05-04 18:03:14.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20150504T180314_20150504T180339_005775_0076AE_3DD5,S1_GRD,1.0373,1,1,1,4.429874575594374,6.6763860127157075
2014-11-28 06:16:55.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20141128T061655_20141128T061720_003478_004143_BA81,S1_GRD,0.9378,1,1,1,4.860730395381806,7.2859477747502215
2024-11-24 18:04:09.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20241124T180409_20241124T180434_056700_06F516_1397,S1_GRD,0.8291,1,1,1,5.33142414021491,7.951871026339685
2019-12-21 18:03:44.000000,1255,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20191221T180344_20191221T180409_030450_037C45_950C,S1_GRD,0.6744,1,1,1,6.001307510276375,8.8996017257039
2017-11-17 18:17:55.000000,1256,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20171117T181755_20171117T181820_008325_00EBBA_D0D2,S1_GRD,11.9807,1,1,1,8.361820493067738,9.762633291614518
2024-09-29 06:27:13.000000,1256,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20240929T062713_20240929T062738_055876_06D45D_2F72,S1_GRD,7.3083,1,1,1,4.687975893323254,5.610688360450563
