loc,n_records,mean,median,std,min,max,range,cv,n_outliers,outlier_rate,n_zeros,zero_rate
1676,1425,0.7673999999999999,0.6509,0.3038036830307258,0.0736,3.4306,3.357,0.3958869989975578,248,17.403508771929825,0,0.0
706,880,131.19498363636365,139.52280000000002,20.066034637507084,11.7241,142.0503,130.3262,0.15294818507028138,125,14.204545454545455,0,0.0
456,1318,24.47267382397572,25.1931,2.5373365519265554,4.2993,26.1332,21.8339,0.1036803975804533,132,10.015174506828528,0,0.0
1673,1449,0.2982885438233264,0.0317,0.5576707539520221,0.0,4.027,4.027,1.8695681262312422,145,10.006901311249138,2,0.13802622498274672
704,1288,0.2855645962732919,0.2981,0.04648503402367117,0.0208,0.3346,0.3138,0.16278290316907465,120,9.316770186335404,0,0.0
641,1293,8.95882157772622,9.3799,1.4743843751135364,0.7283,10.367,9.6387,0.1645734723391757,116,8.971384377416861,0,0.0
1677,1273,5.473373527101335,5.8398,1.2977258664115723,0.18,7.4697,7.2897,0.23709799084347163,110,8.64100549882168,0,0.0
2453,667,61.13486491754122,66.3805,13.990807470890882,4.2964,73.9283,69.63189999999999,0.22885153160576538,52,7.796101949025487,0,0.0
599,1041,1.1614137367915467,0.8817,1.0754331960949701,0.0,4.9401,4.9401,0.9259690685817946,80,7.684918347742556,1,0.09606147934678194
1257,1819,1.0516885651456844,1.0693,0.14196624713542946,0.047,1.7191,1.6721000000000001,0.13498886632447477,133,7.31170973062122,0,0.0
1678,879,68.13757292377701,62.3864,27.8938235691448,14.4875,191.9761,177.4886,0.40937506829526477,61,6.939704209328783,0,0.0
871,1379,0.8532839738941264,0.8793,0.18821305026524424,0.0117,1.6398,1.6280999999999999,0.22057492701556036,95,6.889050036258158,0,0.0
1675,1283,1.328895323460639,1.0258,0.9036141342826931,0.0381,8.1603,8.1222,0.679973898869287,76,5.9236165237724085,0,0.0
1915,1435,0.3349734494773519,0.2268,0.353343440737015,0.0001,4.4676,4.4675,1.0548401411763386,75,5.2264808362369335,0,0.0
593,646,46.805301393188856,47.6379,5.2298774159242924,6.4858,55.1416,48.6558,0.11173686014732828,32,4.953560371517028,0,0.0
597,968,39.95766280991735,40.9741,3.7706722391586203,13.8184,44.6981,30.879699999999996,0.09436668648754783,44,4.545454545454546,0,0.0
457,1352,10.371250665680472,10.67485,1.2406542802344065,2.8382,12.4175,9.5793,0.11962436549141157,61,4.511834319526628,0,0.0
2039,890,0.12991606741573034,0.10875,0.08978530773506216,0.0045,0.7162,0.7117,0.6911024134355139,34,3.8202247191011236,0,0.0
2038,1424,8.132727949438202,6.9175,4.823255061027758,0.9808,28.6445,27.663700000000002,0.5930673066914702,53,3.721910112359551,0,0.0
455,1219,8.644258162428219,8.8754,1.084747175255687,3.3402,10.8788,7.538600000000001,0.12548759591314376,39,3.199343724364233,0,0.0
1684,1444,0.225258864265928,0.1829,0.15090107106238065,0.0056,1.1771,1.1715,0.6699007009297325,46,3.1855955678670362,0,0.0
2035,893,0.14910268756998882,0.1508,0.01600006914046973,0.0308,0.1949,0.1641,0.10730905928814526,28,3.135498320268757,0,0.0
1914,1147,0.34256922406277246,0.2527,0.30469788301839174,0.0001,4.3582,4.3581,0.8894490853695568,35,3.051438535309503,0,0.0
1913,1428,0.2670788515406162,0.19895000000000002,0.2658025902311573,0.0003,5.5978,5.5975,0.9952214063296404,40,2.801120448179272,0,0.0
1911,1439,0.050624183460736626,0.0478,0.020852404003445863,0.0016,0.2002,0.1986,0.4119059820415411,38,2.640722724113968,0,0.0
1682,1445,0.11578477508650518,0.091,0.08857582680907522,0.0024,0.5122,0.5098,0.7650040926615645,38,2.629757785467128,0,0.0
235,964,3.678228734439834,3.42725,2.1711966936907685,0.145,12.6446,12.499600000000001,0.590283217941699,25,2.5933609958506225,0,0.0
1255,743,2.060316285329744,2.1271,0.23093572241658375,0.6744,2.4689,1.7945000000000002,0.11208751008810454,19,2.557200538358008,0,0.0
592,1018,3.583059921414538,3.1982,1.655057145732114,0.632,13.4876,12.8556,0.46191165708407195,25,2.455795677799607,0,0.0
1672,1387,0.20739408795962513,0.177,0.1336205661871267,0.0083,0.7562,0.7479,0.6442833906294356,32,2.3071377072819033,0,0.0
870,901,0.17703940066592674,0.1825,0.055561077816083125,0.0042,0.3689,0.3647,0.3138345340477448,20,2.2197558268590454,0,0.0
445,1415,1.0132460070671379,1.131,0.3306991620512948,0.0137,3.0263,3.0126,0.32637598346773705,30,2.1201413427561837,0,0.0
1258,1363,0.054285253118121796,0.0551,0.007194788944078502,0.0063,0.0846,0.0783,0.13253671173685103,26,1.9075568598679384,0,0.0
2069,951,6.514311987381703,6.4101,1.1798111022056583,2.5578,12.955,10.3972,0.18111062296232755,18,1.8927444794952681,0,0.0
705,1181,7.934086198137172,8.1224,1.4596429583933577,0.0,14.5837,14.5837,0.1839711495365483,22,1.8628281117696865,1,0.0846740050804403
1256,1786,1.3461265957446809,0.9943,1.271801208011076,0.0007,11.9807,11.98,0.9447857371152467,31,1.7357222844344906,0,0.0
1912,951,0.045283806519453206,0.0356,0.03178522613814557,0.0011,0.2492,0.24810000000000001,0.7019115348549849,15,1.5772870662460567,0,0.0
1680,1429,0.035412316305108466,0.0261,0.0327310483925381,0.0,0.1721,0.1721,0.9242843114393063,21,1.4695591322603219,9,0.6298110566829951
446,1413,0.4944578202406228,0.4919,0.09833006834850122,0.1151,0.8551,0.74,0.1988644214397295,20,1.4154281670205235,0,0.0
880,901,0.1856638179800222,0.1986,0.05149696215922891,0.0104,0.3021,0.29169999999999996,0.2773667089231682,12,1.3318534961154271,0,0.0
1683,1444,0.27372707756232684,0.24955,0.20305408551243162,0.0001,1.1393,1.1392,0.7418121996578757,19,1.3157894736842104,0,0.0
1679,1436,0.1698966573816156,0.14565,0.13375444588385527,0.0002,3.0389,3.0387,0.7872694374640989,17,1.1838440111420612,0,0.0
452,1191,13.685450041981529,14.2989,2.7006855271864216,0.5124,17.6355,17.1231,0.19733991347758315,14,1.1754827875734677,0,0.0
654,1436,0.32851622562674093,0.30925,0.11766092371724374,0.0293,1.5119,1.4826,0.358158637348189,16,1.1142061281337048,0,0.0
448,1370,1.8577511678832117,2.1422499999999998,0.6836106358082514,0.0092,2.7844,2.7752000000000003,0.36797750292208503,15,1.094890510948905,0,0.0
1263,899,0.11872614015572859,0.0947,0.07179489993508296,0.0049,0.4399,0.435,0.6047101324182889,9,1.0011123470522802,0,0.0
1674,1438,0.39441272600834487,0.36155000000000004,0.17254311154740234,0.0543,1.2103,1.156,0.43746841866292047,14,0.9735744089012517,0,0.0
703,1412,0.3990155099150142,0.39135,0.11493518658686212,0.0753,1.0016,0.9263,0.28804691479622435,12,0.84985835694051,0,0.0
458,1299,0.9587285604311009,0.8438,0.46067118389262796,0.023,2.6062,2.5831999999999997,0.48050220146303246,11,0.8468052347959968,0,0.0
447,1270,19.8049031496063,19.90425,3.529709414713163,2.0798,52.9611,50.8813,0.17822401796412368,10,0.7874015748031495,0,0.0
1685,1284,1.0796683800623053,0.9861,0.6114106592120824,0.0066,3.7537,3.7470999999999997,0.5662948647035484,10,0.778816199376947,0,0.0
1260,1457,1.0658656829100892,1.016,0.49575091737385923,0.016,2.8056,2.7896,0.4651157508142404,10,0.6863417982155113,0,0.0
655,645,18.447227441860466,17.646,6.672714408152848,1.364,46.8472,45.483200000000004,0.3617190946001521,4,0.6201550387596899,0,0.0
598,1443,1.0673518364518364,1.0524,0.31010603126343633,0.0938,2.1716,2.0778000000000003,0.29053777833400457,8,0.5544005544005544,0,0.0
1681,1427,0.10120525578135948,0.101,0.044897315839060384,0.0003,0.2671,0.2668,0.44362632644351074,7,0.4905395935529082,0,0.0
454,905,45.13305801104972,29.462,27.122030663015185,2.0963,136.8967,134.8004,0.6009349212804287,4,0.44198895027624313,0,0.0
1261,969,0.2629902992776058,0.2155,0.2107173688472261,0.0002,1.012,1.0118,0.8012362791556743,4,0.41279669762641896,0,0.0
2338,1850,1.2290116216216218,0.99595,0.79576615645549,0.064,14.9191,14.8551,0.6474846473831669,7,0.3783783783783784,0,0.0
449,835,1.6667403592814372,1.5954,0.5324788348884746,0.2661,3.4764,3.2103,0.31947317524490504,3,0.3592814371257485,0,0.0
234,616,194.5955077922078,193.60070000000002,51.80420167744884,20.0076,393.328,373.32039999999995,0.26621478709963947,2,0.3246753246753247,0,0.0
1264,1854,0.14672513484358146,0.13065,0.07447904535387631,0.0081,0.4186,0.41050000000000003,0.5076093161084897,6,0.3236245954692557,0,0.0
450,968,0.14496053719008264,0.1506,0.05370115623034929,0.004,0.3359,0.3319,0.3704536232501159,3,0.30991735537190085,0,0.0
595,969,2.242429927760578,2.2054,0.5983919450570746,0.3855,3.8944,3.5089,0.26684978542659027,3,0.30959752321981426,0,0.0
708,1849,0.8372103839913466,0.4162,0.8688995898058888,0.0022,3.6127,3.6104999999999996,1.0378509469310042,3,0.16224986479177933,0,0.0
2037,1893,4.526911938721606,4.4084,1.3027086206525649,0.1279,7.0307,6.9028,0.28776981710416216,2,0.10565240359218173,0,0.0
453,1923,10.184991315652624,10.36,3.120246721698298,0.0,19.8921,19.8921,0.30635732765947493,2,0.10400416016640666,1,0.05200208008320333
1265,1099,29.51792211101001,30.1576,10.393262653168778,1.0927,64.2583,63.165600000000005,0.3521000771694615,1,0.09099181073703368,0,0.0
1259,1870,2.4052435294117647,2.32935,1.4813428926864038,0.0121,5.4882,5.4761,0.6158806268771821,0,0.0,0,0.0
451,1415,7.240086148409894,6.8454,4.241013201056276,0.082,18.9841,18.9021,0.5857683339842179,0,0.0,0,0.0
276,1425,7.665600842105262,8.9971,3.522131588021945,0.1228,12.1241,12.0013,0.45947234412151244,0,0.0,0,0.0
2036,843,0.031277817319098455,0.0315,0.00866214463193413,0.0081,0.0544,0.046299999999999994,0.2769421070390664,0,0.0,0,0.0
594,1477,1.2166316181448882,1.2835,0.438412198965212,0.0212,2.4021,2.3809,0.3603491742502139,0,0.0,0,0.0
600,892,3.012544394618834,3.0201,0.836505835858504,0.8929,5.1742,4.2813,0.2776741937322865,0,0.0,0,0.0
596,967,0.2695828335056877,0.284,0.0777645099069792,0.0377,0.4047,0.367,0.2884623953822286,0,0.0,0,0.0
707,1789,12.686103465623253,12.851,3.7734070547367966,1.2136,19.3457,18.1321,0.297444133650806,0,0.0,0,0.0
1262,1239,0.216516787732042,0.2328,0.06535867358117149,0.0164,0.3176,0.30119999999999997,0.30186423078684516,0,0.0,0,0.0
